source_id,source_type,relationship,target_id,target_type,source_record_id,confidence
P041,PERSON,CO_OCCURS_WITH,P038,PERSON,EVT003,0.85
P041,PERSON,PRESENT_AT,L003,LOCATION,EVT003,0.9
P038,PERSON,PRESENT_AT,L003,LOCATION,EVT003,0.9
P025,PERSON,CO_OCCURS_WITH,P029,PERSON,EVT004,0.85
P025,PERSON,PRESENT_AT,L004,LOCATION,EVT004,0.9
P029,PERSON,PRESENT_AT,L004,LOCATION,EVT004,0.9
P049,PERSON,CO_OCCURS_WITH,P052,PERSON,EVT005,0.85
P049,PERSON,PRESENT_AT,L005,LOCATION,EVT005,0.9
P052,PERSON,PRESENT_AT,L005,LOCATION,EVT005,0.9
P095,PERSON,CO_OCCURS_WITH,P099,PERSON,EVT006,0.85
P095,PERSON,PRESENT_AT,L006,LOCATION,EVT006,0.9
P099,PERSON,PRESENT_AT,L006,LOCATION,EVT006,0.9
P042,PERSON,CO_OCCURS_WITH,P047,PERSON,EVT007,0.85
P042,PERSON,PRESENT_AT,L007,LOCATION,EVT007,0.9
P047,PERSON,PRESENT_AT,L007,LOCATION,EVT007,0.9
P097,PERSON,CO_OCCURS_WITH,P093,PERSON,EVT008,0.85
P097,PERSON,PRESENT_AT,L008,LOCATION,EVT008,0.9
P093,PERSON,PRESENT_AT,L008,LOCATION,EVT008,0.9
P089,PERSON,CO_OCCURS_WITH,P090,PERSON,EVT009,0.85
P089,PERSON,PRESENT_AT,L001,LOCATION,EVT009,0.9
P090,PERSON,PRESENT_AT,L001,LOCATION,EVT009,0.9
P020,PERSON,CO_OCCURS_WITH,P033,PERSON,EVT010,0.85
P020,PERSON,PRESENT_AT,L002,LOCATION,EVT010,0.9
P033,PERSON,PRESENT_AT,L002,LOCATION,EVT010,0.9
P089,PERSON,CO_OCCURS_WITH,P093,PERSON,EVT011,0.85
P089,PERSON,PRESENT_AT,L003,LOCATION,EVT011,0.9
P093,PERSON,PRESENT_AT,L003,LOCATION,EVT011,0.9
P063,PERSON,CO_OCCURS_WITH,P068,PERSON,EVT012,0.85
P063,PERSON,PRESENT_AT,L004,LOCATION,EVT012,0.9
P068,PERSON,PRESENT_AT,L004,LOCATION,EVT012,0.9
P061,PERSON,CO_OCCURS_WITH,P064,PERSON,EVT013,0.85
P061,PERSON,PRESENT_AT,L005,LOCATION,EVT013,0.9
P064,PERSON,PRESENT_AT,L005,LOCATION,EVT013,0.9
P016,PERSON,CO_OCCURS_WITH,P015,PERSON,EVT014,0.85
P016,PERSON,PRESENT_AT,L006,LOCATION,EVT014,0.9
P015,PERSON,PRESENT_AT,L006,LOCATION,EVT014,0.9
P035,PERSON,CO_OCCURS_WITH,P025,PERSON,EVT015,0.85
P035,PERSON,PRESENT_AT,L007,LOCATION,EVT015,0.9
P025,PERSON,PRESENT_AT,L007,LOCATION,EVT015,0.9
P007,PERSON,CO_OCCURS_WITH,P004,PERSON,EVT016,0.85
P007,PERSON,PRESENT_AT,L008,LOCATION,EVT016,0.9
P004,PERSON,PRESENT_AT,L008,LOCATION,EVT016,0.9
P058,PERSON,CO_OCCURS_WITH,P056,PERSON,EVT017,0.85
P058,PERSON,PRESENT_AT,L001,LOCATION,EVT017,0.9
P056,PERSON,PRESENT_AT,L001,LOCATION,EVT017,0.9
P078,PERSON,CO_OCCURS_WITH,P084,PERSON,EVT018,0.85
P078,PERSON,PRESENT_AT,L002,LOCATION,EVT018,0.9
P084,PERSON,PRESENT_AT,L002,LOCATION,EVT018,0.9
P057,PERSON,CO_OCCURS_WITH,P052,PERSON,EVT019,0.85
P057,PERSON,PRESENT_AT,L003,LOCATION,EVT019,0.9
P052,PERSON,PRESENT_AT,L003,LOCATION,EVT019,0.9
P040,PERSON,CO_OCCURS_WITH,P079,PERSON,EVT020,0.85
P040,PERSON,PRESENT_AT,L004,LOCATION,EVT020,0.9
P079,PERSON,PRESENT_AT,L004,LOCATION,EVT020,0.9
P015,PERSON,CO_OCCURS_WITH,P019,PERSON,EVT021,0.85
P015,PERSON,PRESENT_AT,L005,LOCATION,EVT021,0.9
P019,PERSON,PRESENT_AT,L005,LOCATION,EVT021,0.9
P006,PERSON,CO_OCCURS_WITH,P008,PERSON,EVT022,0.85
P006,PERSON,PRESENT_AT,L006,LOCATION,EVT022,0.9
P008,PERSON,PRESENT_AT,L006,LOCATION,EVT022,0.9
P097,PERSON,CO_OCCURS_WITH,P093,PERSON,EVT023,0.85
P097,PERSON,PRESENT_AT,L007,LOCATION,EVT023,0.9
P093,PERSON,PRESENT_AT,L007,LOCATION,EVT023,0.9
P038,PERSON,CO_OCCURS_WITH,P037,PERSON,EVT024,0.85
P038,PERSON,PRESENT_AT,L008,LOCATION,EVT024,0.9
P037,PERSON,PRESENT_AT,L008,LOCATION,EVT024,0.9
P096,PERSON,CO_OCCURS_WITH,P086,PERSON,EVT025,0.85
P096,PERSON,PRESENT_AT,L001,LOCATION,EVT025,0.9
P086,PERSON,PRESENT_AT,L001,LOCATION,EVT025,0.9
P001,PERSON,CO_OCCURS_WITH,P003,PERSON,EVT026,0.85
P001,PERSON,PRESENT_AT,L002,LOCATION,EVT026,0.9
P003,PERSON,PRESENT_AT,L002,LOCATION,EVT026,0.9
P012,PERSON,CO_OCCURS_WITH,P006,PERSON,EVT027,0.85
P012,PERSON,PRESENT_AT,L003,LOCATION,EVT027,0.9
P006,PERSON,PRESENT_AT,L003,LOCATION,EVT027,0.9
P058,PERSON,CO_OCCURS_WITH,P052,PERSON,EVT028,0.85
P058,PERSON,PRESENT_AT,L004,LOCATION,EVT028,0.9
P052,PERSON,PRESENT_AT,L004,LOCATION,EVT028,0.9
P011,PERSON,CO_OCCURS_WITH,P002,PERSON,EVT029,0.85
P011,PERSON,PRESENT_AT,L005,LOCATION,EVT029,0.9
P002,PERSON,PRESENT_AT,L005,LOCATION,EVT029,0.9
P060,PERSON,CO_OCCURS_WITH,P090,PERSON,EVT030,0.85
P060,PERSON,PRESENT_AT,L006,LOCATION,EVT030,0.9
P090,PERSON,PRESENT_AT,L006,LOCATION,EVT030,0.9
P039,PERSON,CO_OCCURS_WITH,P048,PERSON,EVT031,0.85
P039,PERSON,PRESENT_AT,L007,LOCATION,EVT031,0.9
P048,PERSON,PRESENT_AT,L007,LOCATION,EVT031,0.9
P041,PERSON,CO_OCCURS_WITH,P039,PERSON,EVT032,0.85
P041,PERSON,PRESENT_AT,L008,LOCATION,EVT032,0.9
P039,PERSON,PRESENT_AT,L008,LOCATION,EVT032,0.9
P013,PERSON,CO_OCCURS_WITH,P016,PERSON,EVT033,0.85
P013,PERSON,PRESENT_AT,L001,LOCATION,EVT033,0.9
P016,PERSON,PRESENT_AT,L001,LOCATION,EVT033,0.9
P047,PERSON,CO_OCCURS_WITH,P038,PERSON,EVT034,0.85
P047,PERSON,PRESENT_AT,L002,LOCATION,EVT034,0.9
P038,PERSON,PRESENT_AT,L002,LOCATION,EVT034,0.9
P007,PERSON,CO_OCCURS_WITH,P004,PERSON,EVT035,0.85
P007,PERSON,PRESENT_AT,L003,LOCATION,EVT035,0.9
P004,PERSON,PRESENT_AT,L003,LOCATION,EVT035,0.9
P004,PERSON,CO_OCCURS_WITH,P005,PERSON,EVT036,0.85
P004,PERSON,PRESENT_AT,L004,LOCATION,EVT036,0.9
P005,PERSON,PRESENT_AT,L004,LOCATION,EVT036,0.9
P058,PERSON,CO_OCCURS_WITH,P054,PERSON,EVT037,0.85
P058,PERSON,PRESENT_AT,L005,LOCATION,EVT037,0.9
P054,PERSON,PRESENT_AT,L005,LOCATION,EVT037,0.9
P052,PERSON,CO_OCCURS_WITH,P051,PERSON,EVT038,0.85
P052,PERSON,PRESENT_AT,L006,LOCATION,EVT038,0.9
P051,PERSON,PRESENT_AT,L006,LOCATION,EVT038,0.9
P051,PERSON,CO_OCCURS_WITH,P059,PERSON,EVT039,0.85
P051,PERSON,PRESENT_AT,L007,LOCATION,EVT039,0.9
P059,PERSON,PRESENT_AT,L007,LOCATION,EVT039,0.9
P080,PERSON,CO_OCCURS_WITH,P023,PERSON,EVT040,0.85
P080,PERSON,PRESENT_AT,L008,LOCATION,EVT040,0.9
P023,PERSON,PRESENT_AT,L008,LOCATION,EVT040,0.9
